

 ********* STATS AS OF 10/03/2024***********

 **** IPL Stats - most runs (minm 500 runs) ****

              Player Name         Runs in IPL   Matches   Innings    Strike Rate     Sixes     Fours   Average  Highest score   Fifties   IPL-Hundreds  Profile-ID
          Shakib Al Hasan                 793        71        52         124.49        21        73     19.82             66         2              0         544
             Travis Head                  772        25        25         173.87        40        76     36.76            102         5              1        8497
       Sanath Jayasuriya                  768        30        30         144.36        39        84     27.43            114         4              1         102
       Prabhsimran Singh                  756        34        34         146.23        41        78     22.24            103         3              1       14254
            Graeme Smith                  739        29        29         110.63         9        94     28.42             91         4              0         207
           Jitesh Sharma                  730        40        36         151.14        45        53     22.81             49         0              0       10214
          Angelo Mathews                  724        49        42         125.91        29        44     23.35             65         1              0        1629
           Cameron Green                  707        29        28          153.7        32        62     41.59            100         2              1       12225
      Tirumalsetti Suman                  676        43        40         117.57        26        55     21.12             78         2              0        1903
          Abhishek Nayar                  672        60        50         116.46        20        55     17.68             45         0              0        1463
          Mitchell Marsh                  665        42        36         127.64        38        48     19.56             89         3              0        6250
           George Bailey                  663        40        37         121.88        19        59     24.56             61         2              0        1440
               Tim David                  659        38        35         170.28        46        38     28.65             46         0              0       13169
              Evin Lewis                  654        27        26         137.11        36        62     27.25             65         4              0        8579
             Philip Salt                  653        21        21         175.54        34        74     34.37             89         6              0       10479
            Ayush Badoni                  634        42        35         134.04        24        46     24.38             59         4              0       13907
           Piyush Chawla                  624       192        92         110.83        20        56     11.14             24         0              0         466
            Chris Morris                  618        81        51         155.28        35        41     22.07             82         2              0        8333
               Jason Roy                  614        21        21          138.6        21        75     32.32             91         4              0        6534
             Jesse Ryder                  604        29        29         131.88        19        69     21.57             86         4              0         583
           Sarfaraz Khan                  585        50        37         130.58        14        63      22.5             67         1              0        9429
             Abdul Samad                  577        50        40         146.08        36        37     19.23             37         0              0       14628
             Hashim Amla                  577        16        16         141.77        21        60     44.38            104         3              2         314
           Shahrukh Khan                  553        40        38         141.43        37        35     19.75             58         1              0       10226
             Rashid Khan                  545       121        60         161.72        38        39     14.73             79         1              0       10738
          Corey Anderson                  538        30        29         127.19        31        40     24.45             95         3              0        8982
           Shahbaz Ahmed                  536        55        37         121.82        25        28     19.14             59         1              0       14606
             Ravi Bopara                  531        24        22         117.22        16        39      29.5             84         3              0         571
          Mahipal Lomror                  527        40        35         141.29        30        33     18.17             54         1              0       10954
          James Faulkner                  527        60        45         135.82        23        36     21.08             46         0              0        7789
             Pat Cummins                  515        58        41         149.71        34        33     19.81             66         3              0        8095
           Mithun Manhas                  514        55        38         109.36        10        43     22.35             42         0              0         597
     Gurkeerat Singh Mann                 511        41        32         121.09        11        55     21.29             65         2              0        8298
              Owais Shah                  506        23        22         130.08        23        34     33.73             76         4              0         520
           Paul Valthaty                  505        23        23         120.81        20        60     22.95            120         2              1        1865
            Sam Billings                  503        30        27         129.64        20        40     19.35             56         3              0        7990


 **** IPL Stats - Most Wickets (minm 50 wickets) ****

              Player Name  Total Wkts   IPL Matches   Innings   Best-Bowling   Economy Rate  Bowl Strike Rate  Profile-ID
        Yuzvendra Chahal          205           160       159           5/40           7.84             17.18        7910
           Piyush Chawla          192           192       191           4/17           7.96             20.05         466
            Dwayne Bravo          183           161       158           4/22           8.39             17.04         242
       Bhuvneshwar Kumar          181           176       176           5/19           7.56              21.6        1726
            Sunil Narine          180           176       175           5/19           6.73             22.64        2276
     Ravichandran Ashwin          180           211       208           4/34           7.12             25.13        1593
             Amit Mishra          174           162       162           5/17           7.38             19.37        1454
          Lasith Malinga          170           122       122           5/13           7.14             16.63         111
          Jasprit Bumrah          165           133       133           5/10            7.3              18.5        9311
         Ravindra Jadeja          160           240       211           5/16           7.62             23.93         587
         Harbhajan Singh          150           163       160           5/18           7.08             22.77          75
             Rashid Khan          149           121       121           4/24           6.82             19.19       10738
             Umesh Yadav          144           148       147           4/23           8.49             21.18        1858
          Sandeep Sharma          137           126       126           5/18           7.89              20.6        8356
           Harshal Patel          135           106       103           5/27           8.74             16.01        8175
            Mohit Sharma          132           112       111           5/10           8.67             17.07        8181
          Mohammed Shami          127           110       110           4/11           8.44              19.1        7909
              Axar Patel          123           150       148           4/21           7.28              25.2        8808
             Trent Boult          121           103       103           4/18           8.29             19.31        8117
           Kagiso Rabada          117            80        80           4/21           8.48             15.54        9585
           Andre Russell          115           126       112           5/15           9.36             14.76        7736
            Ashish Nehra          106            88        88           4/10           7.85              18.0         269
             Vinay Kumar          105           105       104           4/40           8.39              20.2        1449
             Zaheer Khan          102           100        99           4/17           7.59             21.57          71
          Jaydev Unadkat           99           105       104           5/25           8.98             21.53        6327
              Dale Steyn           97            95        95            3/8           6.92             22.43         508
            Chris Morris           95            81        81           4/23           8.01             18.11        8333
          Shardul Thakur           94            95        92           4/36           9.23             19.85        8683
          Mohammed Siraj           93            93        93           4/21           8.65             21.05       10808
            Shane Watson           92           145       105           4/29           7.93             22.05         158
           Ishant Sharma           92           110       110           5/12           8.24              25.1         702
