

 ********* STATS AS OF 10/07/2024***********


 **** Highest T20i Batting Average (minm 500 runs) ****
              Player Name     Batting Average   Matches   Innings      Runs   Batting S.R.  Hundreds   Fifties     Fours     Sixes  Profile-ID        Country
                 Sese Bau               23.84        50        44       882         109.16         0         4        69        29        8470      Papua New
            Calum MacLeod               23.83        64        61      1239         111.12         0         7       107        23        1416       Scotland
             Aasif Sheikh               23.82        51        51      1167         115.66         0         5       113        40       12110          Nepal
          Harmanjot Singh               23.73        36        32       617         127.48         0         3        60        14       14835        Germany
            Charles Amini               23.59        54        47       920         114.57         0         4        74        23       10428      Papua New
            Sean Williams               23.49        81        80      1691         126.38         0        11       161        42         441       Zimbabwe
        Sanath Jayasuriya                23.3        31        30       629         129.16         0         4        76        23         102      Sri Lanka
             Rishabh Pant               23.25        76        66      1209          127.4         0         3       111        44       10744          India
          Gyanendra Malla               23.24        44        39       883          120.3         1         2        76        36        9966          Nepal
               Talha Khan               23.22        28        28       534         103.69         0         3        43        12       14836        Germany
         Reginald Nehonde                23.2        38        35       696          95.47         0         2        55        12       15356       Botswana
            Matthew Cross               23.17        75        64      1251         116.05         0         5       118        32        9365       Scotland
           Thisara Perera               23.15        84        74      1204         151.64         0         3        88        64        2281      Sri Lanka
Vijayshankar Chikkannaiah                23.0        27        27       575          100.7         0         4        47        14       14830        Germany
             Roger Mukasa                23.0        57        55      1150         120.42         0         5       126        36       17053         Uganda
             David Hussey               22.91        39        36       756         121.35         0         3        41        34         562      Australia
             Fakhar Zaman               22.81        92        84      1848         132.95         0        11       172        76       10863       Pakistan
         Harrison Carlyon               22.68        39        38       839         121.77         1         3        92        25       15085         Jersey
             Nizakat Khan               22.62        99        95      2036         122.58         0        10       167        67        9980      Hong Kong
           Mohammed Aslam               22.43        54        35       673         117.04         0         3        59        16       17613         Kuwait
             Aritra Dutta               22.36        25        25       559         137.01         1         2        53        30       14009      Singapore
             Basil Hameed               22.34        61        51       782         126.33         0         2        41        40       15842    United Arab
            Mohammad Nabi               22.32       128       120      2143         135.89         0         6       145       108        3007    Afghanistan
             Harry Tector               22.21        81        75      1377         118.71         0         5       110        33       11130        Ireland
           Brendan Taylor               22.03        44        44       859         114.99         0         5        87        21         180       Zimbabwe
             Dwayne Bravo               22.02        91        74      1255         115.14         0         4        73        55         242    West Indies
             Monank Patel               21.96        31        27       549         128.27         0         3        67        16       14732  United States
             Craig Ervine               21.95        71        70      1449         105.77         0         9       143        30        6334       Zimbabwe
            Asghar Afghan               21.94        75        68      1382         110.83         0         4        87        69        3004    Afghanistan
         Craig Kieswetter               21.92        25        25       526         111.91         0         3        47        23        2261        England
       Samiullah Shinwari               21.83        64        55      1004          118.4         0         2        76        37        3011    Afghanistan
              Kyle Mayers               21.77        38        37       762         138.29         0         3        68        51        8440    West Indies
               Ben Stokes               21.67        43        36       585         128.01         0         1        42        22        6557        England
             Sarfaraz Ali               21.55        46        46       948         145.85         0         5        87        67       17523        Bahrain
                 JP Kotze                21.5        46        42       817         117.89         1         2        80        38        9892        Namibia
          Ravindra Jadeja               21.46        74        41       515         127.16         0         0        39        14         587          India
             Scott Styris               21.41        31        29       578         119.67         0         1        40        25          58    New Zealand
           Alpesh Ramjani               21.35        43        30       555         129.37         0         2        41        23       15009         Uganda
              Imran Anwar               21.34        54        40       747         133.87         0         4        47        53       17494        Bahrain
            Rohan Mustafa               21.32        57        52      1002         121.45         0         4       106        27        9835    United Arab
            Lorcan Tucker               21.24        74        70      1317         123.31         0         9       128        29       11131        Ireland
          Shimron Hetmyer                21.2        58        49       933         119.62         0         5        63        47        9789    West Indies
             Albie Morkel               21.19        50        38       572         142.29         0         0        29        39         484   South Africa
      Dhananjaya de Silva               21.18        45        44       847         115.87         0         3        71        18        7872      Sri Lanka
             Kamran Akmal                21.0        58        53       987         119.64         0         5       100        31          77       Pakistan
             Temba Bavuma               20.94        36        35       670         118.17         0         1        62        16        8583   South Africa
            Gareth Delany               20.69        75        66      1076         134.16         0         3        85        49       13983        Ireland
            Scott Edwards               20.59        68        60       906         122.76         0         1        78        19       13272    Netherlands
             Afif Hossain               20.54        69        63      1109         119.63         0         3        81        38       11984     Bangladesh
             Vusi Sibanda               20.44        26        26       511         101.59         0         1        52        11         179       Zimbabwe
         Sulaimon Runsewe               20.41        41        40       694         106.77         0         4        68         7       15635        Nigeria
      William Porterfield               20.36        61        59      1079         111.12         0         3       120        23         625        Ireland
         Wessly Madhevere                20.3        65        62      1137         117.22         0         7       129        15       11226       Zimbabwe
            Janak Prakash               20.28        43        41       588         125.91         0         1        37        24       12114      Singapore
            Gulbadin Naib               20.27        72        61       892         124.58         0         3        67        44        8030    Afghanistan
          George Dockrell               20.17       140        93      1170         130.43         0         2        83        43        6329        Ireland
             Norman Vanua               19.97        52        41       639         130.67         0         3        32        39        8480      Papua New
           Sukhdeep Singh               19.89        43        35       557          106.7         0         1        65         3       13378          Kenya
